issue_id,issue_key,project,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments,design_decision_types
,YARN-10304,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10292,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10281,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10276,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-10246,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10238,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-10229,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10216,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10028,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10214,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10181,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10162,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10126,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10114,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10101,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10100,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10099,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10096,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10094,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-10079,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-10062,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10039,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10032,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-10031,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-10022,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9927,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9936,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9926,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9923,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9916,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9904,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9899,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9897,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9879,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9848,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9809,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9805,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9748,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9726,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9802,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9768,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9761,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9760,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9746,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9754,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9753,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9737,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9730,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9698,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9697,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9686,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9671,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9669,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9664,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9663,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9656,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9652,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9634,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9633,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9618,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9609,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9607,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9603,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9577,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9555,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9528,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9439,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9499,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9477,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9473,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9472,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9443,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9421,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9416,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9414,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9378,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9366,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9346,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True True
,YARN-9345,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9313,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9298,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9292,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9287,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9276,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-9249,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9230,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9228,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9200,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9174,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9150,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9146,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9145,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9116,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9098,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9086,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9059,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9060,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9056,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9055,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9050,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9045,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9038,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9034,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9023,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-9021,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9016,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9015,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9014,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-9003,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-9000,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8993,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8964,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8982,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8962,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8761,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8981,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8978,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8967,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8965,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8953,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8913,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8890,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8903,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8895,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8889,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8887,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8886,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8884,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8882,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8881,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8880,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8863,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8862,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8851,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8850,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8849,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False True
,YARN-8848,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8839,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8838,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8836,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8834,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8827,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8821,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8820,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True True
,YARN-8811,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8766,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8765,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8763,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8762,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8736,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8731,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8697,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8696,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8686,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8684,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8673,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True True False
,YARN-8670,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8643,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
,YARN-8651,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8639,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False True False
,YARN-8638,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True False False
