issue_key,design_decision_types,project,issue_id,votes,parent_key,parent_summary,has_parent,summary,description,raw_text,cleaned_text,token_list,issue_type,status,priority,reporter,assignee,created_date,updated_date,resolution_date,labels,components,fix_versions,comments,number_of_comments,comment_dates,comment_developers,bot_comment_count,human_comment_count,has_bot_comments,attachments,number_of_attachments,attachment_dates,attachment_files,has_attachments
YARN-10304,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10292,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10281,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10276,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10246,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10238,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10229,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10216,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10028,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10214,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10181,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10162,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10126,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10114,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10101,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10100,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10099,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10096,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10094,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10079,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10062,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10039,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10032,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10031,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-10022,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9927,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9936,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9926,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9923,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9916,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9904,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9899,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9897,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9879,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9848,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9809,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9805,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9748,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9726,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9802,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9768,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9761,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9760,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9746,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9754,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9753,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9737,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9730,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9698,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9697,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9686,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9671,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9669,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9664,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9663,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9656,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9652,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9634,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9633,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9618,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9609,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9607,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9603,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9577,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9555,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9528,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9439,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9499,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9477,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9473,True False True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9472,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9443,False True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9421,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9416,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9414,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9378,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9366,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9346,False True True,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9345,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9313,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9298,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9292,True False False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YARN-9287,True True False,YARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
